parameter_id,name,value,units,constant,pbpko_class,chebi_ids
PFOS,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
PFOA,,1,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
T_delivery,Time of delivery (h) = 40 wk x 168 h/wk,6720,h,true,http://purl.obolibrary.org/obo/PBPKO_00551,
T_lact_end,End of lactation (h); set to T_delivery to disable BF,15486,h,false,http://purl.obolibrary.org/obo/PBPKO_00551,
H_PER_YEAR,Hours per year (365.25 x 24),8766,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00551,
CVINIT,Pre-pregnancy maternal plasma conc (mg/L),0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
BWINIT,Pre-pregnancy body weight (kg),70,kg,false,http://purl.obolibrary.org/obo/PBPKO_00008,
BW_birth_ref,Expected birth weight (kg),3.5,kg,false,http://purl.obolibrary.org/obo/PBPKO_00008,
QCC,Cardiac output coeff (L/h/kg^0.75),20,L_per_h,true,http://purl.obolibrary.org/obo/PBPKO_00013,
FQL,Hepatic artery fraction,0.065,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00025,
FQG,Gut fraction,0.181,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00513,
FQK,Kidney fraction,0.177,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00027,
FQfil,Filtrate (GFR) fraction,0.035,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00511,
FQfat,Fat fraction,0.052,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00033,
FQbr,Brain fraction,0.117,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00041,
FQlg,Lung fraction,0.025,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00045,
FQmar,Marrow fraction,0.02,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00512,
FQsk,Skin fraction,0.058,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00037,
FQmam,Mammary fraction,0.01,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00514,
FQplac,Placenta fraction,0.067,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00381,
FVL,Liver vol fraction,0.026,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00078,
FVK,Kidney vol fraction,0.004,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00080,
FVfil,Filtrate vol fraction,0.00044,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00508,
FVG,Gut vol fraction,0.016,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00509,
FVbr,Brain vol fraction,0.021,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00094,
FVlg,Lung vol fraction,0.014,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00098,
