parameter_id,name,value,units,constant,pbpko_class,chebi_ids
min_in_day,Minutes per day,1440,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00551,
min_in_week,Minutes per week,10080,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00551,
min_in_year,Minutes per year (365.2425d),525960,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00551,
OneWeek,,10080,min,true,http://purl.obolibrary.org/obo/PBPKO_00551,
TwoWeek,,20160,min,true,http://purl.obolibrary.org/obo/PBPKO_00551,
Density_adip,,0.9,kg,true,http://purl.obolibrary.org/obo/PBPKO_00008,
Density_bone,,2,kg,true,http://purl.obolibrary.org/obo/PBPKO_00008,
Fr_art_blood,Fraction arterial in blood volume,0.33,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_bone_total,,0.143,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_breast_peack,,0.011,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
Frac_BlLossDelivery,,0.14,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
EWo,Luecke initial weight constant (g),0.00137,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
alpha,Luecke growth rate (day-1),0.01306,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
Ao,Luecke growth coefficient (day-1),0.1974,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
a_0,,0.0009911,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
b_0,,2.142,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
c_0,,-0.1405,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00649,
a_4,,0.01274,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
b_4,,0.608,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
c_4,,-0.02209,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00649,
a_8,,0.0002057,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
a_22,,4.712e-06,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
b_22,,3.295,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
c_22,,-0.2164,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00649,
a_26,,0.001,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
a_27,,0.0002,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
h_inf_F,,9.6095,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
k_e_F,,2.0619,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
W0_ref_F,,3.2322,kg,true,http://purl.obolibrary.org/obo/PBPKO_00008,
h1_F,,54.8897,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
h0_F,,42.6761,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
s1_F,,0.70977,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
s0_F,,0.0549,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
theta_F,,12.5136,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
tP1_F,,17.9,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
WP1_F,,54.371,kg,true,http://purl.obolibrary.org/obo/PBPKO_00008,
W_inf_F,,73.9743,kg,true,http://purl.obolibrary.org/obo/PBPKO_00008,
k2_F,,0.06506,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
tsp_F,,75,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
a3_F,,-0.017137,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
