parameter_id,name,value,units,constant,pbpko_class,chebi_ids
PFOS,,1,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
PFOA,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVINIT,Initial plasma concentration (mg/L),0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
BW0,Pre-pregnancy body weight (kg),70,kg,false,http://purl.obolibrary.org/obo/PBPKO_00008,
BW_birth,Expected birth weight (kg),3.3,kg,false,http://purl.obolibrary.org/obo/PBPKO_00008,
QCC,Cardiac output coeff (L/h/kg^0.75),20,L_per_h,true,http://purl.obolibrary.org/obo/PBPKO_00013,
FQL,Hepatic artery fraction,0.065,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00025,
FQG,Gut fraction,0.181,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00513,
FQK,Kidney fraction,0.177,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00027,
FQfat,Fat fraction,0.052,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00033,
FQbr,Brain fraction,0.117,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00041,
FQlg,Lung fraction,0.025,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00045,
FQmar,Marrow fraction,0.02,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00512,
FQmam,Mammary fraction,0.01,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00514,
FQfil,Filtrate (GFR) fraction,0.035,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00511,
FQplac,Placenta fraction (Sharma 2018b),0.067,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00381,
FVL,Liver vol fraction,0.026,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00078,
FVK,Kidney vol fraction,0.004,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00080,
FVfil,Filtrate vol fraction,0.00044,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00508,
FVG,Gut vol fraction,0.016,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00509,
FVbr,Brain vol fraction,0.021,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00094,
FVlg,Lung vol fraction,0.014,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00098,
FVmar,Marrow vol fraction,0.014,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00092,
FVmam,Mammary vol fraction,0.006,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00510,
FVfat,Fat vol fraction,0.214,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00086,
FVplas,Plasma vol fraction,0.043,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00104,
FQCf,Fetal cardiac output (L/h/kg^0.75),54,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00611,
FVfliv,Fetal liver vol fraction of fetal BW,0.04,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00078,
FVfkid,Fetal kidney vol fraction,0.0072,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00080,
FVfbr,Fetal brain vol fraction,0.11,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00094,
FVfbld,Fetal blood vol fraction,0.085,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00104,
HtcF,Fetal hematocrit,0.5,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
VFet_A1,Fetal Gompertz A1,3.779,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VFet_b1,Fetal Gompertz b1,16.081,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VFet_c1,Fetal Gompertz c1 (1/h),0.000567,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VFet_A2,Fetal Gompertz A2,3.833,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VFet_b2,Fetal Gompertz b2,140.178,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VFet_c2,Fetal Gompertz c2 (1/h),0.000701,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
PFOS_PL,PFOS liver:plasma PC,2.67,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00170,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_Pfat,PFOS fat:plasma PC,0.33,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00174,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_Pbr,PFOS brain:plasma PC,0.26,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00515,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_Plg,PFOS lung:plasma PC,0.15,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00179,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_PK,PFOS kidney:plasma PC,1.26,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00171,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_Pmar,PFOS marrow:plasma PC (Fabrega 2015),0.11,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
