parameter_id,name,value,units,constant,pbpko_class,chebi_ids
PFOS,,1,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
PFOA,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVINIT,Initial blood concentration (mg/L),0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
BWINIT,Pre-pregnancy body weight (kg),60.9,kg,false,http://purl.obolibrary.org/obo/PBPKO_00008,
Birthweight,Child birth weight (kg),3.50857,kg,false,http://purl.obolibrary.org/obo/PBPKO_00008,
Ratio_GFR,GFR scaling factor,1,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
AF_VPlas,,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
AF_VPlasF,,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
AF_VPla,,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
AF_VAF,,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
AF_Htc,,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
AF_QK,,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
DVPlasC_0,Plasma vol fraction at week 0 (extrapolated),0.0415,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00610,
HtcF,Fetal hematocrit (constant),0.5,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
HtcINIT_0,Initial maternal hematocrit (week 0 table value),0.38,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
QCC,Cardiac output coefficient (L/h/kg^0.75),20,L_per_h,true,http://purl.obolibrary.org/obo/PBPKO_00013,
QLC,Fraction cardiac output to liver (hepatic artery),0.065,L_per_h,true,http://purl.obolibrary.org/obo/PBPKO_00012,
QSkC,Fraction cardiac output to skin,0.058,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00611,
QGC,Fraction cardiac output to gut,0.181,L_per_h,true,http://purl.obolibrary.org/obo/PBPKO_00012,
QMamC,Fraction cardiac output to mammary (initial),0.027,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00611,
QFatC,Fraction cardiac output to fat (initial),0.052,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00611,
QFetC,Fetal cardiac output (L/h/kg fetal BW),24,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00611,
QPlaC,Placental flow as fraction of fetal cardiac output,0.33,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00611,
VLC,Liver volume fraction,0.026,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VKC,Kidney volume fraction,0.004,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VfilC,Filtrate compartment volume fraction,0.0004,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VGC,Gut volume fraction,0.0171,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VMamC,Mammary tissue volume fraction,0.0062,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VFatC,Fat volume fraction,0.214,L,true,http://purl.obolibrary.org/obo/PBPKO_00085,
VSk,Skin volume (L) — absolute constant,0.0972,L,true,http://purl.obolibrary.org/obo/PBPKO_00089,
VPlasFC,Fetal plasma volume fraction of fetal weight,0.0428,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VFet_A1,Fetal growth Gompertz A1,3.779,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VFet_b1,Fetal growth Gompertz b1,16.081,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VFet_c1,Fetal growth Gompertz c1 (1/h),0.000567,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VFet_A2,Fetal growth Gompertz A2,3.833,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VFet_b2,Fetal growth Gompertz b2,140.178,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VFet_c2,Fetal growth Gompertz c2 (1/h),0.000701,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
Bw_ref,Reference birth weight for fetal volume scaling (kg),3.50857,kg,true,http://purl.obolibrary.org/obo/PBPKO_00008,
VPla_A,Placenta Gompertz amplitude (L),0.85,L,true,http://purl.obolibrary.org/obo/PBPKO_00374,
VPla_b,Placenta Gompertz b,9.434,L,true,http://purl.obolibrary.org/obo/PBPKO_00374,
VPla_c,Placenta Gompertz c (1/h),0.000523,L,true,http://purl.obolibrary.org/obo/PBPKO_00374,
VMam_A,Mammary growth Gompertz amplitude,0.0065,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VMam_b,Mammary growth Gompertz b,7.444868477,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VMam_c,Mammary growth Gompertz c (1/h),0.000678,L,true,http://purl.obolibrary.org/obo/PBPKO_00103,
VFat_A,Fat growth Gompertz amplitude,0.09,L,true,http://purl.obolibrary.org/obo/PBPKO_00085,
VFat_b,Fat growth Gompertz b,12.90995862,L,true,http://purl.obolibrary.org/obo/PBPKO_00085,
VFat_c,Fat growth Gompertz c (1/h),0.000797,L,true,http://purl.obolibrary.org/obo/PBPKO_00085,
PFOS_PL,PFOS liver:plasma PC,3.72,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00170,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
